ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006635	fatty acid beta-oxidation	8/8	72/18493	3.53327690320434e-20	2.47329383224304e-18	4.09116273002608e-19	ACADL/ECI1/ECHS1/ACADM/ACADVL/HADHA/ACADS/DECR1	8
GO:0019395	fatty acid oxidation	8/8	98/18493	4.64548819801186e-19	1.28178186065545e-17	2.12024067176089e-18	ACADL/ECI1/ECHS1/ACADM/ACADVL/HADHA/ACADS/DECR1	8
GO:0034440	lipid oxidation	8/8	100/18493	5.49335083138049e-19	1.28178186065545e-17	2.12024067176089e-18	ACADL/ECI1/ECHS1/ACADM/ACADVL/HADHA/ACADS/DECR1	8
GO:0009062	fatty acid catabolic process	8/8	106/18493	8.90268812127586e-19	1.55797042122328e-17	2.57709392984301e-18	ACADL/ECI1/ECHS1/ACADM/ACADVL/HADHA/ACADS/DECR1	8
GO:0072329	monocarboxylic acid catabolic process	8/8	129/18493	4.49955202155095e-18	6.29937283017134e-17	1.04200152078022e-17	ACADL/ECI1/ECHS1/ACADM/ACADVL/HADHA/ACADS/DECR1	8
GO:0044242	cellular lipid catabolic process	8/8	207/18493	2.15225510060952e-16	2.51096428404444e-15	4.15347475556223e-16	ACADL/ECI1/ECHS1/ACADM/ACADVL/HADHA/ACADS/DECR1	8
GO:0016054	organic acid catabolic process	8/8	265/18493	1.6004380089873e-15	1.40038325786389e-14	2.31642343406056e-15	ACADL/ECI1/ECHS1/ACADM/ACADVL/HADHA/ACADS/DECR1	8
GO:0046395	carboxylic acid catabolic process	8/8	265/18493	1.6004380089873e-15	1.40038325786389e-14	2.31642343406056e-15	ACADL/ECI1/ECHS1/ACADM/ACADVL/HADHA/ACADS/DECR1	8
GO:0030258	lipid modification	8/8	291/18493	3.4165764127179e-15	2.6573372098917e-14	4.39559538478327e-15	ACADL/ECI1/ECHS1/ACADM/ACADVL/HADHA/ACADS/DECR1	8
GO:0016042	lipid catabolic process	8/8	321/18493	7.55889045383556e-15	5.29122331768489e-14	8.75239947286223e-15	ACADL/ECI1/ECHS1/ACADM/ACADVL/HADHA/ACADS/DECR1	8
GO:0006631	fatty acid metabolic process	8/8	369/18493	2.33146805419883e-14	1.48366148903562e-13	2.45417689915666e-14	ACADL/ECI1/ECHS1/ACADM/ACADVL/HADHA/ACADS/DECR1	8
GO:0044282	small molecule catabolic process	8/8	431/18493	8.16653332607008e-14	4.76381110687421e-13	7.87998829708517e-14	ACADL/ECI1/ECHS1/ACADM/ACADVL/HADHA/ACADS/DECR1	8
GO:0033539	fatty acid beta-oxidation using acyl-CoA dehydrogenase	4/8	11/18493	4.73596398165265e-12	2.55013445165912e-11	4.2182675140226e-12	ACADL/ACADM/ACADVL/ACADS	4
GO:0009437	carnitine metabolic process	2/8	13/18493	1.27425918976078e-05	6.37129594880391e-05	1.05389857799764e-05	ACADL/ACADM	2
GO:0006577	amino-acid betaine metabolic process	2/8	17/18493	2.21986307430959e-05	0.000103593610134448	1.71357851350214e-05	ACADL/ACADM	2
GO:0045717	negative regulation of fatty acid biosynthetic process	2/8	19/18493	2.78994367180536e-05	0.000122060035641485	2.01903818354335e-05	ACADL/ACADVL	2
GO:0001659	temperature homeostasis	3/8	171/18493	4.20467412466316e-05	0.000173133640427307	2.86386472887274e-05	ACADL/ACADVL/DECR1	3
GO:0045922	negative regulation of fatty acid metabolic process	2/8	28/18493	6.15524393218696e-05	0.000239370597362826	3.9595136405881e-05	ACADL/ACADVL	2
GO:0046320	regulation of fatty acid oxidation	2/8	29/18493	6.60975728431685e-05	0.000243517373632726	4.02810693227066e-05	ACADL/ACADVL	2
GO:0042304	regulation of fatty acid biosynthetic process	2/8	50/18493	0.000198527868484626	0.00069484753969619	0.000114937187017415	ACADL/ACADVL	2
GO:0051055	negative regulation of lipid biosynthetic process	2/8	52/18493	0.00021480326476209	0.0007160108825403	0.000118437890345012	ACADL/ACADVL	2
GO:0090181	regulation of cholesterol metabolic process	2/8	63/18493	0.000315620571802199	0.00100424727391609	0.00016611609042221	ACADL/ACADVL	2
GO:0019216	regulation of lipid metabolic process	3/8	388/18493	0.000474523864421038	0.00141089450905175	0.000233381046610063	ACADL/ACADM/ACADVL	3
GO:0051289	protein homotetramerization	2/8	78/18493	0.000483735260246313	0.00141089450905175	0.000233381046610063	ACADL/DECR1	2
GO:0045833	negative regulation of lipid metabolic process	2/8	85/18493	0.000574198734611854	0.00160775645691319	0.000265944677083385	ACADL/ACADVL	2
GO:0019217	regulation of fatty acid metabolic process	2/8	88/18493	0.00061529552270391	0.00165656486881822	0.00027401824897745	ACADL/ACADVL	2
GO:0120162	positive regulation of cold-induced thermogenesis	2/8	96/18493	0.000731684928077732	0.00186731751694675	0.000308879589269387	ACADL/DECR1	2
GO:0062014	negative regulation of small molecule metabolic process	2/8	97/18493	0.0007469270067787	0.00186731751694675	0.000308879589269387	ACADL/ACADVL	2
GO:0048871	multicellular organismal homeostasis	3/8	471/18493	0.000835632669108751	0.00201704437371078	0.00033364643775667	ACADL/ACADVL/DECR1	3
GO:0019218	regulation of steroid metabolic process	2/8	119/18493	0.00112097051266902	0.00261559786289438	0.000432655285591552	ACADL/ACADVL	2
GO:0010565	regulation of cellular ketone metabolic process	2/8	125/18493	0.00123575471224721	0.00279041386636468	0.000461572218496413	ACADL/ACADVL	2
GO:0106106	cold-induced thermogenesis	2/8	142/18493	0.00159040587530618	0.00336612237655152	0.000556802197625064	ACADL/DECR1	2
GO:0120161	regulation of cold-induced thermogenesis	2/8	142/18493	0.00159040587530618	0.00336612237655152	0.000556802197625064	ACADL/DECR1	2
GO:0008203	cholesterol metabolic process	2/8	144/18493	0.0016349737257536	0.00336612237655152	0.000556802197625064	ACADL/ACADVL	2
GO:1902652	secondary alcohol metabolic process	2/8	149/18493	0.00174899893657762	0.0034460413732982	0.000570021881297446	ACADL/ACADVL	2
GO:1990845	adaptive thermogenesis	2/8	150/18493	0.00177224984912479	0.0034460413732982	0.000570021881297446	ACADL/DECR1	2
GO:0051262	protein tetramerization	2/8	153/18493	0.0018428925266932	0.00348655342887903	0.000576723123573975	ACADL/DECR1	2
GO:0006633	fatty acid biosynthetic process	2/8	156/18493	0.00191486801577579	0.0035273884501133	0.000583477788740546	ACADL/ACADVL	2
GO:0016125	sterol metabolic process	2/8	162/18493	0.00206280665131135	0.00370247347671269	0.000612439221711873	ACADL/ACADVL	2
GO:0046890	regulation of lipid biosynthetic process	2/8	183/18493	0.00262218034006303	0.0045888155951103	0.000759052203702456	ACADL/ACADVL	2
GO:0042180	cellular ketone metabolic process	2/8	190/18493	0.00282290446278616	0.00481959298524467	0.000797225907333704	ACADL/ACADVL	2
GO:0006575	cellular modified amino acid metabolic process	2/8	197/18493	0.00303070530422321	0.00503246614688424	0.000832438009259048	ACADL/ACADM	2
GO:0097164	ammonium ion metabolic process	2/8	199/18493	0.00309137206165746	0.00503246614688424	0.000832438009259048	ACADL/ACADM	2
GO:0042758	long-chain fatty acid catabolic process	1/8	10/18493	0.00431859853540029	0.006870497669955	0.00113647329878955	ACADL	1
GO:0051791	medium-chain fatty acid metabolic process	1/8	12/18493	0.00518035720734578	0.00805833343364899	0.00133295741007728	ACADM	1
GO:0046459	short-chain fatty acid metabolic process	1/8	13/18493	0.00561099175863311	0.00853846571965908	0.00141237778821428	ACADS	1
GO:0072330	monocarboxylic acid biosynthetic process	2/8	293/18493	0.0065769299846243	0.00979542763667448	0.0016202963008033	ACADL/ACADVL	2
GO:0008202	steroid metabolic process	2/8	318/18493	0.00770727580498112	0.0112397772155975	0.00185921126874545	ACADL/ACADVL	2
GO:0051260	protein homooligomerization	2/8	328/18493	0.00818262440169128	0.0116894634309875	0.00193359545474982	ACADL/DECR1	2
GO:0006066	alcohol metabolic process	2/8	348/18493	0.00917259863505668	0.0128416380890793	0.00212418073653944	ACADL/ACADVL	2
GO:0062012	regulation of small molecule metabolic process	2/8	355/18493	0.00953135409637849	0.0130822507205195	0.0021639813221912	ACADL/ACADVL	2
GO:0042219	cellular modified amino acid catabolic process	1/8	28/18493	0.0120509653637193	0.0162224533742375	0.00268341334009944	ACADL	1
GO:0046394	carboxylic acid biosynthetic process	2/8	412/18493	0.0126846959358991	0.0165195463656819	0.00273255654169174	ACADL/ACADVL	2
GO:0016053	organic acid biosynthetic process	2/8	413/18493	0.012743650053526	0.0165195463656819	0.00273255654169174	ACADL/ACADVL	2
GO:0042398	cellular modified amino acid biosynthetic process	1/8	46/18493	0.0197307383795422	0.0251118488466901	0.00415383965885099	ACADM	1
GO:0009409	response to cold	1/8	48/18493	0.0205808133075908	0.0257260166344885	0.00425543132299809	ACADVL	1
GO:0036498	IRE1-mediated unfolded protein response	1/8	62/18493	0.0265132986082782	0.0325601912733241	0.00538589630085061	ACADVL	1
