Annotation Cluster 1	Enrichment Score: 2.1969311159309983
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0042417~dopamine metabolic process	5	21.73913043478261	3.113159626776523E-8	6531, 2643, 1644, 1813, 7054	22	27	16792	141.34680134680136	5.00583546697575E-5	5.00583546697575E-5	5.216120431139615E-5
GOTERM_BP_ALL	GO:0018958~phenol-containing compound metabolic process	6	26.08695652173913	8.868083363240801E-8	6531, 2643, 1644, 1813, 7299, 7054	22	93	16792	49.24340175953079	1.4258862015081863E-4	7.129685169593447E-5	1.4858528109007452E-4
GOTERM_BP_ALL	GO:0046189~phenol-containing compound biosynthetic process	5	21.73913043478261	1.2977635336709753E-7	6531, 2643, 1644, 7299, 7054	22	38	16792	100.43062200956938	2.0865861745800185E-4	6.955771064898197E-5	2.1744100608955819E-4
GOTERM_BP_ALL	GO:0042416~dopamine biosynthetic process	4	17.391304347826086	2.76351842981543E-7	6531, 2643, 1644, 7054	22	11	16792	277.55371900826447	4.4427510546452E-4	1.1108728557285286E-4	4.630285244111576E-4
GOTERM_BP_ALL	GO:0006584~catecholamine metabolic process	5	21.73913043478261	3.691974724547987E-7	6531, 2643, 1644, 1813, 7054	22	49	16792	77.88497217068645	5.934934583865514E-4	1.1872688047465108E-4	6.185912640677138E-4
GOTERM_BP_ALL	GO:0009712~catechol-containing compound metabolic process	5	21.73913043478261	3.691974724547987E-7	6531, 2643, 1644, 1813, 7054	22	49	16792	77.88497217068645	5.934934583865514E-4	1.1872688047465108E-4	6.185912640677138E-4
GOTERM_BP_ALL	GO:1901615~organic hydroxy compound metabolic process	8	34.78260869565217	4.252163707214623E-7	6531, 2643, 216, 5563, 1644, 1813, 7299, 7054	22	410	16792	14.893126385809312	6.835143669636778E-4	1.1395151860038588E-4	7.124507499844945E-4
GOTERM_BP_ALL	GO:0009713~catechol-containing compound biosynthetic process	4	17.391304347826086	1.3590118812220167E-6	6531, 2643, 1644, 7054	22	18	16792	169.61616161616163	0.0021829065764837896	3.121359311513139E-4	0.0022770099614044526
GOTERM_BP_ALL	GO:0042423~catecholamine biosynthetic process	4	17.391304347826086	1.3590118812220167E-6	6531, 2643, 1644, 7054	22	18	16792	169.61616161616163	0.0021829065764837896	3.121359311513139E-4	0.0022770099614044526
GOTERM_BP_ALL	GO:1901617~organic hydroxy compound biosynthetic process	6	26.08695652173913	1.498966676883833E-6	6531, 2643, 5563, 1644, 7299, 7054	22	164	16792	27.92461197339246	0.002407437685463032	3.012471438338382E-4	0.002511499964930053
GOTERM_BP_ALL	GO:0007626~locomotory behavior	6	26.08695652173913	3.2531088495950297E-6	2019, 6531, 5309, 1813, 6571, 7054	22	192	16792	23.852272727272727	0.005217349644024538	5.810541824564641E-4	0.005450467972922812
GOTERM_CC_ALL	GO:0030424~axon	7	30.434782608695656	5.691521198746525E-6	116, 5979, 6531, 1644, 1813, 6571, 7054	22	418	18224	13.872118312309698	0.001035323488420281	0.001035323488420281	0.007023230040781314
GOTERM_BP_ALL	GO:0042493~response to drug	7	30.434782608695656	8.234973645584014E-6	4825, 5979, 6531, 5563, 1644, 1813, 7054	22	411	16792	12.999778809997787	0.013154604003144943	0.001323312862866577	0.013796863480219912
GOTERM_CC_ALL	GO:0098793~presynapse	6	26.08695652173913	1.4221330503533551E-5	116, 6531, 1644, 1813, 6571, 7054	22	282	18224	17.6247582205029	0.00258495379444168	0.0012933132267720637	0.017548005467771244
GOTERM_BP_ALL	GO:0071705~nitrogen compound transport	8	34.78260869565217	1.857938701469471E-5	116, 4825, 6531, 7432, 1644, 1813, 6571, 7054	22	725	16792	8.422319749216301	0.029434057608600517	0.00248656435269623	0.031125342967908143
GOTERM_BP_ALL	GO:0043279~response to alkaloid	5	21.73913043478261	2.0883831958530682E-5	4825, 6531, 1644, 1813, 7054	22	134	16792	28.480325644504745	0.03302395124654178	0.0023958077779898668	0.034985257170672135
GOTERM_BP_ALL	GO:0035094~response to nicotine	4	17.391304347826086	2.9928781486676802E-5	4825, 6531, 1813, 7054	22	49	16792	62.30797773654917	0.04698649159193424	0.0030033683892586316	0.05013407118457103
GOTERM_BP_ALL	GO:0048511~rhythmic process	6	26.08695652173913	3.417301194958574E-5	116, 5563, 1644, 1813, 7054, 6421	22	312	16792	14.678321678321677	0.053468607681171565	0.003227201480611175	0.057241720270095886
GOTERM_BP_ALL	GO:0007610~behavior	7	30.434782608695656	4.59741802978816E-5	116, 2019, 6531, 5309, 1813, 6571, 7054	22	557	16792	9.592296393014525	0.07126160779374624	0.004098698497493225	0.07700218390079838
GOTERM_CC_ALL	GO:0043005~neuron projection	8	34.78260869565217	6.943446568515996E-5	116, 5979, 2644, 6531, 1644, 1813, 6571, 7054	22	966	18224	6.860154338415208	0.012557993473222617	0.0042036436843017055	0.08564986331667246
GOTERM_BP_ALL	GO:0015837~amine transport	4	17.391304347826086	8.017632081034383E-5	1644, 1813, 6571, 7054	22	68	16792	44.89839572192513	0.12096335473637265	0.006120653561010103	0.13425119934172836
GOTERM_BP_ALL	GO:0001505~regulation of neurotransmitter levels	5	21.73913043478261	9.404582583610145E-5	2644, 6531, 1813, 6571, 7054	22	197	16792	19.372404245500693	0.1403524501247957	0.006553768867989418	0.15745778348079664
GOTERM_BP_ALL	GO:0006836~neurotransmitter transport	5	21.73913043478261	9.404582583610145E-5	6531, 1644, 1813, 6571, 7054	22	197	16792	19.372404245500693	0.1403524501247957	0.006553768867989418	0.15745778348079664
GOTERM_BP_ALL	GO:1901700~response to oxygen-containing compound	9	39.130434782608695	2.3904181833146187E-4	116, 4825, 5979, 6531, 2643, 5563, 1813, 7299, 7054	22	1466	16792	4.685848939600645	0.31915812327140913	0.013168566757368771	0.3997630029443977
GOTERM_BP_ALL	GO:0007270~neuron-neuron synaptic transmission	4	17.391304347826086	2.596286346350632E-4	116, 6531, 1813, 7054	22	101	16792	30.22862286228623	0.34133291164385515	0.012572929756699214	0.43412111312292057
GOTERM_CC_ALL	GO:0043679~axon terminus	4	17.391304347826086	2.8458719094527895E-4	116, 1813, 6571, 7054	22	113	18224	29.322606596942883	0.05048337553269788	0.012867062390130912	0.35062043765125006
