ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO:0007399	GO:0007399	nervous system development	14	-1	-1.1486707436467	0.00282485875706215	0.0308307165286897	0.0244602370900131	2	tags=12%, list=3%, signal=16%	TRAK1
GO:0016192	GO:0016192	vesicle-mediated transport	13	-1	-1.15368543003397	0.0028735632183908	0.0308307165286897	0.0244602370900131	2	tags=14%, list=3%, signal=18%	TRAK1
GO:1901135	GO:1901135	carbohydrate derivative metabolic process	13	-1	-1.15368543003397	0.0028735632183908	0.0308307165286897	0.0244602370900131	3	tags=23%, list=5%, signal=28%	NDUFA4/TRAK1
GO:0030030	GO:0030030	cell projection organization	10	-1	-1.19439662430211	0.00302114803625378	0.0308307165286897	0.0244602370900131	2	tags=18%, list=3%, signal=21%	TRAK1
GO:0050793	GO:0050793	regulation of developmental process	10	-1	-1.19439662430211	0.00302114803625378	0.0308307165286897	0.0244602370900131	2	tags=27%, list=3%, signal=32%	NDFIP1/TRAK1
GO:0120036	GO:0120036	plasma membrane bounded cell projection organization	10	-1	-1.19439662430211	0.00302114803625378	0.0308307165286897	0.0244602370900131	2	tags=18%, list=3%, signal=21%	TRAK1
GO:1901566	GO:1901566	organonitrogen compound biosynthetic process	9	-1	-1.20087983436086	0.00311526479750779	0.0308307165286897	0.0244602370900131	2	tags=22%, list=3%, signal=25%	TRAK1
GO:0045595	GO:0045595	regulation of cell differentiation	8	-1	-1.22939286700588	0.00319488817891374	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=38%	NDFIP1/TRAK1
GO:2000026	GO:2000026	regulation of multicellular organismal development	8	-1	-1.22939286700588	0.00319488817891374	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=38%	NDFIP1/TRAK1
GO:0022008	GO:0022008	neurogenesis	7	-1	-1.2486082096834	0.00328947368421053	0.0308307165286897	0.0244602370900131	2	tags=25%, list=3%, signal=28%	TRAK1
GO:0030182	GO:0030182	neuron differentiation	7	-1	-1.2486082096834	0.00328947368421053	0.0308307165286897	0.0244602370900131	2	tags=25%, list=3%, signal=28%	TRAK1
GO:0032989	GO:0032989	cellular component morphogenesis	7	-1	-1.2486082096834	0.00328947368421053	0.0308307165286897	0.0244602370900131	2	tags=25%, list=3%, signal=28%	TRAK1
GO:0032990	GO:0032990	cell part morphogenesis	7	-1	-1.2486082096834	0.00328947368421053	0.0308307165286897	0.0244602370900131	2	tags=25%, list=3%, signal=28%	TRAK1
GO:0048468	GO:0048468	cell development	7	-1	-1.2486082096834	0.00328947368421053	0.0308307165286897	0.0244602370900131	2	tags=25%, list=3%, signal=28%	TRAK1
GO:0048666	GO:0048666	neuron development	7	-1	-1.2486082096834	0.00328947368421053	0.0308307165286897	0.0244602370900131	2	tags=25%, list=3%, signal=28%	TRAK1
GO:0048699	GO:0048699	generation of neurons	7	-1	-1.2486082096834	0.00328947368421053	0.0308307165286897	0.0244602370900131	2	tags=25%, list=3%, signal=28%	TRAK1
GO:0051094	GO:0051094	positive regulation of developmental process	7	-1	-1.2486082096834	0.00328947368421053	0.0308307165286897	0.0244602370900131	2	tags=25%, list=3%, signal=28%	TRAK1
GO:0022603	GO:0022603	regulation of anatomical structure morphogenesis	6	-1	-1.32238250557873	0.00336700336700337	0.0308307165286897	0.0244602370900131	2	tags=29%, list=3%, signal=31%	TRAK1
GO:0031175	GO:0031175	neuron projection development	6	-1	-1.32238250557873	0.00336700336700337	0.0308307165286897	0.0244602370900131	2	tags=29%, list=3%, signal=31%	TRAK1
GO:0051648	GO:0051648	vesicle localization	6	-1	-1.32238250557873	0.00336700336700337	0.0308307165286897	0.0244602370900131	2	tags=29%, list=3%, signal=31%	TRAK1
GO:0051650	GO:0051650	establishment of vesicle localization	6	-1	-1.32238250557873	0.00336700336700337	0.0308307165286897	0.0244602370900131	2	tags=29%, list=3%, signal=31%	TRAK1
GO:1901137	GO:1901137	carbohydrate derivative biosynthetic process	6	-1	-1.32238250557873	0.00336700336700337	0.0308307165286897	0.0244602370900131	2	tags=50%, list=3%, signal=54%	NDUFAB1/TRAK1
GO:0000902	GO:0000902	cell morphogenesis	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0007034	GO:0007034	vacuolar transport	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0009100	GO:0009100	glycoprotein metabolic process	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=40%, list=3%, signal=42%	TRAK1
GO:0010720	GO:0010720	positive regulation of cell development	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0031344	GO:0031344	regulation of cell projection organization	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0031346	GO:0031346	positive regulation of cell projection organization	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0045597	GO:0045597	positive regulation of cell differentiation	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0045664	GO:0045664	regulation of neuron differentiation	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0048812	GO:0048812	neuron projection morphogenesis	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0048858	GO:0048858	cell projection morphogenesis	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0050767	GO:0050767	regulation of neurogenesis	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0050769	GO:0050769	positive regulation of neurogenesis	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0051960	GO:0051960	regulation of nervous system development	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0051962	GO:0051962	positive regulation of nervous system development	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0060284	GO:0060284	regulation of cell development	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0120035	GO:0120035	regulation of plasma membrane bounded cell projection organization	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0120039	GO:0120039	plasma membrane bounded cell projection morphogenesis	5	-1	-1.40808937951818	0.00353356890459364	0.0308307165286897	0.0244602370900131	2	tags=33%, list=3%, signal=36%	TRAK1
GO:0002684	GO:0002684	positive regulation of immune system process	5	1	2.08075127175701	0.00452488687782805	0.0308307165286897	0.0244602370900131	1	tags=20%, list=2%, signal=21%	PHB
GO:0016049	GO:0016049	cell growth	5	1	2.08075127175701	0.00452488687782805	0.0308307165286897	0.0244602370900131	1	tags=17%, list=2%, signal=18%	PHB
GO:0030522	GO:0030522	intracellular receptor signaling pathway	5	1	2.08075127175701	0.00452488687782805	0.0308307165286897	0.0244602370900131	1	tags=17%, list=2%, signal=18%	PHB
GO:0032101	GO:0032101	regulation of response to external stimulus	5	1	2.08075127175701	0.00452488687782805	0.0308307165286897	0.0244602370900131	1	tags=20%, list=2%, signal=21%	PHB
GO:0032269	GO:0032269	negative regulation of cellular protein metabolic process	5	1	2.08075127175701	0.00452488687782805	0.0308307165286897	0.0244602370900131	1	tags=17%, list=2%, signal=18%	PHB
GO:0034097	GO:0034097	response to cytokine	5	1	2.08075127175701	0.00452488687782805	0.0308307165286897	0.0244602370900131	1	tags=17%, list=2%, signal=18%	PHB
GO:0040007	GO:0040007	growth	5	1	2.08075127175701	0.00452488687782805	0.0308307165286897	0.0244602370900131	1	tags=17%, list=2%, signal=18%	PHB
GO:0040008	GO:0040008	regulation of growth	5	1	2.08075127175701	0.00452488687782805	0.0308307165286897	0.0244602370900131	1	tags=17%, list=2%, signal=18%	PHB
GO:0046677	GO:0046677	response to antibiotic	5	1	2.08075127175701	0.00452488687782805	0.0308307165286897	0.0244602370900131	1	tags=20%, list=2%, signal=21%	PHB
GO:0050776	GO:0050776	regulation of immune response	5	1	2.08075127175701	0.00452488687782805	0.0308307165286897	0.0244602370900131	1	tags=20%, list=2%, signal=21%	PHB
GO:0050821	GO:0050821	protein stabilization	5	1	2.08075127175701	0.00452488687782805	0.0308307165286897	0.0244602370900131	1	tags=17%, list=2%, signal=18%	PHB
GO:0051248	GO:0051248	negative regulation of protein metabolic process	5	1	2.08075127175701	0.00452488687782805	0.0308307165286897	0.0244602370900131	1	tags=17%, list=2%, signal=18%	PHB
GO:0051276	GO:0051276	chromosome organization	5	1	2.08075127175701	0.00452488687782805	0.0308307165286897	0.0244602370900131	1	tags=20%, list=2%, signal=21%	PHB
GO:0071345	GO:0071345	cellular response to cytokine stimulus	5	1	2.08075127175701	0.00452488687782805	0.0308307165286897	0.0244602370900131	1	tags=17%, list=2%, signal=18%	PHB
GO:0000003	GO:0000003	reproduction	6	1	2.09188507936258	0.00483091787439614	0.0308307165286897	0.0244602370900131	1	tags=17%, list=2%, signal=18%	PHB
GO:0001934	GO:0001934	positive regulation of protein phosphorylation	6	1	2.09188507936258	0.00483091787439614	0.0308307165286897	0.0244602370900131	1	tags=17%, list=2%, signal=18%	PHB
GO:0010557	GO:0010557	positive regulation of macromolecule biosynthetic process	6	1	2.09188507936258	0.00483091787439614	0.0308307165286897	0.0244602370900131	1	tags=14%, list=2%, signal=16%	PHB
GO:0022414	GO:0022414	reproductive process	6	1	2.09188507936258	0.00483091787439614	0.0308307165286897	0.0244602370900131	1	tags=17%, list=2%, signal=18%	PHB
GO:0030001	GO:0030001	metal ion transport	6	1	2.09188507936258	0.00483091787439614	0.0308307165286897	0.0244602370900131	1	tags=17%, list=2%, signal=18%	PHB
GO:0043410	GO:0043410	positive regulation of MAPK cascade	6	1	2.09188507936258	0.00483091787439614	0.0308307165286897	0.0244602370900131	1	tags=17%, list=2%, signal=18%	PHB
GO:0045893	GO:0045893	positive regulation of transcription, DNA-templated	6	1	2.09188507936258	0.00483091787439614	0.0308307165286897	0.0244602370900131	1	tags=14%, list=2%, signal=16%	PHB
GO:0051254	GO:0051254	positive regulation of RNA metabolic process	6	1	2.09188507936258	0.00483091787439614	0.0308307165286897	0.0244602370900131	1	tags=14%, list=2%, signal=16%	PHB
GO:0071407	GO:0071407	cellular response to organic cyclic compound	6	1	2.09188507936258	0.00483091787439614	0.0308307165286897	0.0244602370900131	1	tags=12%, list=2%, signal=14%	PHB
