ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO:0009987	GO:0009987	cellular process	17	1	1.08851517367933	0.00201207243460765	0.0105827018552391	0.00811409239063166	3	tags=16%, list=15%, signal=268%	IGF2R/NPC1/PTEN
GO:0006810	GO:0006810	transport	14	1	1.090909309678	0.00206185567010309	0.0105827018552391	0.00811409239063166	3	tags=19%, list=15%, signal=80%	IGF2R/NPC1/PTEN
GO:0051179	GO:0051179	localization	14	1	1.090909309678	0.00206185567010309	0.0105827018552391	0.00811409239063166	3	tags=19%, list=15%, signal=80%	IGF2R/NPC1/PTEN
GO:0051234	GO:0051234	establishment of localization	14	1	1.090909309678	0.00206185567010309	0.0105827018552391	0.00811409239063166	3	tags=19%, list=15%, signal=80%	IGF2R/NPC1/PTEN
GO:0065007	GO:0065007	biological regulation	14	1	1.090909309678	0.00206185567010309	0.0105827018552391	0.00811409239063166	3	tags=21%, list=15%, signal=61%	IGF2R/NPC1/PTEN
GO:0050789	GO:0050789	regulation of biological process	13	1	1.08511348832363	0.00208333333333333	0.0105827018552391	0.00811409239063166	3	tags=23%, list=15%, signal=56%	IGF2R/NPC1/PTEN
GO:0050794	GO:0050794	regulation of cellular process	13	1	1.08511348832363	0.00208333333333333	0.0105827018552391	0.00811409239063166	3	tags=23%, list=15%, signal=56%	IGF2R/NPC1/PTEN
GO:0050896	GO:0050896	response to stimulus	12	1	1.0794018251123	0.00212765957446809	0.0105827018552391	0.00811409239063166	3	tags=21%, list=15%, signal=61%	IGF2R/NPC1/PTEN
GO:0016043	GO:0016043	cellular component organization	10	1	1.08889955499754	0.0021551724137931	0.0105827018552391	0.00811409239063166	3	tags=30%, list=15%, signal=51%	IGF2R/NPC1/PTEN
GO:0071840	GO:0071840	cellular component organization or biogenesis	10	1	1.08889955499754	0.0021551724137931	0.0105827018552391	0.00811409239063166	3	tags=30%, list=15%, signal=51%	IGF2R/NPC1/PTEN
GO:0016192	GO:0016192	vesicle-mediated transport	9	1	1.0856957994494	0.0022883295194508	0.0105827018552391	0.00811409239063166	3	tags=27%, list=15%, signal=52%	IGF2R/NPC1/PTEN
GO:0002376	GO:0002376	immune system process	8	1	1.09458157089493	0.00237529691211401	0.0105827018552391	0.00811409239063166	1	tags=10%, list=5%, signal=19%	IGF2R
GO:0032501	GO:0032501	multicellular organismal process	8	1	1.09458157089493	0.00237529691211401	0.0105827018552391	0.00811409239063166	3	tags=38%, list=15%, signal=53%	IGF2R/NPC1/PTEN
GO:0032940	GO:0032940	secretion by cell	8	1	1.09458157089493	0.00237529691211401	0.0105827018552391	0.00811409239063166	1	tags=10%, list=5%, signal=19%	IGF2R
GO:0046903	GO:0046903	secretion	8	1	1.09458157089493	0.00237529691211401	0.0105827018552391	0.00811409239063166	1	tags=10%, list=5%, signal=19%	IGF2R
GO:0051716	GO:0051716	cellular response to stimulus	8	1	1.09458157089493	0.00237529691211401	0.0105827018552391	0.00811409239063166	3	tags=38%, list=15%, signal=53%	IGF2R/NPC1/PTEN
GO:0006887	GO:0006887	exocytosis	7	1	1.11223165606968	0.00249376558603491	0.0105827018552391	0.00811409239063166	1	tags=11%, list=5%, signal=19%	IGF2R
GO:0006955	GO:0006955	immune response	7	1	1.11223165606968	0.00249376558603491	0.0105827018552391	0.00811409239063166	1	tags=11%, list=5%, signal=19%	IGF2R
GO:0007034	GO:0007034	vacuolar transport	6	1	1.14956911038387	0.00261780104712042	0.0105827018552391	0.00811409239063166	2	tags=33%, list=10%, signal=43%	IGF2R/NPC1
GO:0007041	GO:0007041	lysosomal transport	6	1	1.14956911038387	0.00261780104712042	0.0105827018552391	0.00811409239063166	2	tags=33%, list=10%, signal=43%	IGF2R/NPC1
GO:0008219	GO:0008219	cell death	6	1	1.14956911038387	0.00261780104712042	0.0105827018552391	0.00811409239063166	3	tags=50%, list=15%, signal=61%	IGF2R/NPC1/PTEN
GO:0045055	GO:0045055	regulated exocytosis	6	1	1.14956911038387	0.00261780104712042	0.0105827018552391	0.00811409239063166	1	tags=12%, list=5%, signal=20%	IGF2R
GO:0051704	GO:0051704	multi-organism process	6	1	1.14956911038387	0.00261780104712042	0.0105827018552391	0.00811409239063166	3	tags=50%, list=15%, signal=61%	IGF2R/NPC1/PTEN
GO:0001775	GO:0001775	cell activation	5	1	1.17966339151784	0.00280898876404494	0.0105827018552391	0.00811409239063166	1	tags=14%, list=5%, signal=21%	IGF2R
GO:0002252	GO:0002252	immune effector process	5	1	1.17966339151784	0.00280898876404494	0.0105827018552391	0.00811409239063166	1	tags=14%, list=5%, signal=21%	IGF2R
GO:0002263	GO:0002263	cell activation involved in immune response	5	1	1.17966339151784	0.00280898876404494	0.0105827018552391	0.00811409239063166	1	tags=14%, list=5%, signal=21%	IGF2R
GO:0002274	GO:0002274	myeloid leukocyte activation	5	1	1.17966339151784	0.00280898876404494	0.0105827018552391	0.00811409239063166	1	tags=14%, list=5%, signal=21%	IGF2R
GO:0002275	GO:0002275	myeloid cell activation involved in immune response	5	1	1.17966339151784	0.00280898876404494	0.0105827018552391	0.00811409239063166	1	tags=14%, list=5%, signal=21%	IGF2R
GO:0002283	GO:0002283	neutrophil activation involved in immune response	5	1	1.17966339151784	0.00280898876404494	0.0105827018552391	0.00811409239063166	1	tags=14%, list=5%, signal=21%	IGF2R
GO:0002366	GO:0002366	leukocyte activation involved in immune response	5	1	1.17966339151784	0.00280898876404494	0.0105827018552391	0.00811409239063166	1	tags=14%, list=5%, signal=21%	IGF2R
GO:0002443	GO:0002443	leukocyte mediated immunity	5	1	1.17966339151784	0.00280898876404494	0.0105827018552391	0.00811409239063166	1	tags=14%, list=5%, signal=21%	IGF2R
GO:0002444	GO:0002444	myeloid leukocyte mediated immunity	5	1	1.17966339151784	0.00280898876404494	0.0105827018552391	0.00811409239063166	1	tags=14%, list=5%, signal=21%	IGF2R
GO:0002446	GO:0002446	neutrophil mediated immunity	5	1	1.17966339151784	0.00280898876404494	0.0105827018552391	0.00811409239063166	1	tags=14%, list=5%, signal=21%	IGF2R
GO:0010033	GO:0010033	response to organic substance	5	1	1.17966339151784	0.00280898876404494	0.0105827018552391	0.00811409239063166	3	tags=60%, list=15%, signal=68%	IGF2R/NPC1/PTEN
GO:0010941	GO:0010941	regulation of cell death	5	1	1.17966339151784	0.00280898876404494	0.0105827018552391	0.00811409239063166	3	tags=60%, list=15%, signal=68%	IGF2R/NPC1/PTEN
GO:0033993	GO:0033993	response to lipid	5	1	1.17966339151784	0.00280898876404494	0.0105827018552391	0.00811409239063166	3	tags=60%, list=15%, signal=68%	IGF2R/NPC1/PTEN
GO:0036230	GO:0036230	granulocyte activation	5	1	1.17966339151784	0.00280898876404494	0.0105827018552391	0.00811409239063166	1	tags=14%, list=5%, signal=21%	IGF2R
