ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:2001233	regulation of apoptotic signaling pathway	28/72	391/18493	1.56819101645761e-28	1.89801567040258e-25	9.77495031042216e-26	MAPK8/SFN/BAX/BCL2/GSK3B/GZMB/BID/CTNNB1/NOS3/BAK1/NFE2L2/BMF/FASLG/BCL2L11/PRKCD/FYN/MCL1/YWHAZ/GSN/NRP1/MAPK9/CSNK2A2/BBC3/RELA/FAS/GSK3A/CASP8/NMT1	28
GO:1902110	positive regulation of mitochondrial membrane permeability involved in apoptotic process	17/72	57/18493	1.75172250557928e-28	1.89801567040258e-25	9.77495031042216e-26	MAPK8/SFN/BAX/BCL2/GSK3B/GZMB/BID/BAK1/BMF/BCL2L11/YWHAZ/BBC3/MIR29B2/GSK3A/MIR29B1/CASP8/NMT1	17
GO:0046902	regulation of mitochondrial membrane permeability	18/72	73/18493	1.97298926237275e-28	1.89801567040258e-25	9.77495031042216e-26	MAPK8/SFN/BAX/BCL2/GSK3B/GZMB/BID/BAK1/HK2/BMF/BCL2L11/YWHAZ/BBC3/MIR29B2/GSK3A/MIR29B1/CASP8/NMT1	18
GO:1902686	mitochondrial outer membrane permeabilization involved in programmed cell death	17/72	59/18493	3.4614854441336e-28	2.49746174794239e-25	1.28621511766228e-25	MAPK8/SFN/BAX/BCL2/GSK3B/GZMB/BID/BAK1/BMF/BCL2L11/YWHAZ/BBC3/MIR29B2/GSK3A/MIR29B1/CASP8/NMT1	17
GO:0035794	positive regulation of mitochondrial membrane permeability	17/72	61/18493	6.65844162381093e-28	3.84325250526367e-25	1.9793093837518e-25	MAPK8/SFN/BAX/BCL2/GSK3B/GZMB/BID/BAK1/BMF/BCL2L11/YWHAZ/BBC3/MIR29B2/GSK3A/MIR29B1/CASP8/NMT1	17
GO:1902108	regulation of mitochondrial membrane permeability involved in apoptotic process	17/72	63/18493	1.24935084562616e-27	5.15089505782442e-25	2.65275698349494e-25	MAPK8/SFN/BAX/BCL2/GSK3B/GZMB/BID/BAK1/BMF/BCL2L11/YWHAZ/BBC3/MIR29B2/GSK3A/MIR29B1/CASP8/NMT1	17
GO:1905710	positive regulation of membrane permeability	17/72	63/18493	1.24935084562616e-27	5.15089505782442e-25	2.65275698349494e-25	MAPK8/SFN/BAX/BCL2/GSK3B/GZMB/BID/BAK1/BMF/BCL2L11/YWHAZ/BBC3/MIR29B2/GSK3A/MIR29B1/CASP8/NMT1	17
GO:0090559	regulation of membrane permeability	18/72	81/18493	1.60252153945854e-27	5.78109645359669e-25	2.97731633383613e-25	MAPK8/SFN/BAX/BCL2/GSK3B/GZMB/BID/BAK1/HK2/BMF/BCL2L11/YWHAZ/BBC3/MIR29B2/GSK3A/MIR29B1/CASP8/NMT1	18
GO:0008637	apoptotic mitochondrial changes	19/72	121/18493	6.39642825542091e-26	2.05112132723831e-23	1.05634581247419e-23	MAPK8/SFN/BAX/BCL2/GSK3B/GZMB/BID/BAK1/HK2/BMF/BCL2L11/YWHAZ/JUN/BBC3/MIR29B2/GSK3A/MIR29B1/CASP8/NMT1	19
GO:0097345	mitochondrial outer membrane permeabilization	15/72	51/18493	4.31426797390407e-25	1.24509773726872e-22	6.41236460963426e-23	MAPK8/SFN/BAX/BCL2/GSK3B/GZMB/BID/BAK1/BMF/BCL2L11/YWHAZ/BBC3/GSK3A/CASP8/NMT1	15
GO:0010822	positive regulation of mitochondrion organization	18/72	112/18493	9.12960047339606e-25	2.39527517874737e-22	1.23358812138136e-22	MAPK8/SFN/BAX/BCL2/GSK3B/GZMB/BID/BAK1/HK2/BMF/BCL2L11/YWHAZ/CSNK2A2/BBC3/GSK3A/CASP8/NPEPPS/NMT1	18
